1,GND
2,RVDD
3,GND
4,VDDLS
5,GND
6,CP
7,GND
8,VPPCP
9,GND
10,AVDD
11,GND
12,GND
13,BIAS
14,GND
15,VCCPD
16,GND
17,VCCPS
18,GND
19,SDO
20,GND
21,VCCHF
22,GND
23,VDD1
24,GND
25,GND
26,GND
27,NDIV_OUT
28,PDIV_OUT
29,VDD3
30,GND
31,RFOUT
32,GND
33,VCOVCC
34,VDD2
35,VPRST
36,GND
37,VT
38,GND
39,VG
40,GND
41,SCK
42,SDI
43,SEN
44,CEN
45,GND
46,DVDD
47,GND
48,XREFP
49,PAD
